,nta_code,MONTH,count
710,QN05,3,426
711,QN05,4,568
712,QN05,5,723
713,QN05,6,822
714,QN06,1,647
715,QN06,2,996
716,QN06,3,1177
717,QN06,4,1083
718,QN06,5,1365
719,QN06,6,1284
720,QN07,1,143
721,QN07,2,236
722,QN07,3,340
723,QN07,4,300
724,QN07,5,389
725,QN07,6,398
726,QN08,1,451
727,QN08,2,709
728,QN08,3,848
729,QN08,4,799
730,QN08,5,1231
731,QN08,6,1187
732,QN10,1,55
733,QN10,2,50
734,QN10,3,58
735,QN10,4,55
736,QN10,5,197
737,QN10,6,211
738,QN12,1,52
739,QN12,2,99
740,QN12,3,103
741,QN12,4,99
742,QN12,5,214
743,QN12,6,241
744,QN15,1,67
745,QN15,2,80
746,QN15,3,96
747,QN15,4,80
748,QN15,5,95
749,QN15,6,130
750,QN17,1,4708
751,QN17,2,5925
752,QN17,3,6490
753,QN17,4,6815
754,QN17,5,8861
755,QN17,6,9121
756,QN18,1,1381
757,QN18,2,1955
758,QN18,3,1876
759,QN18,4,2005
760,QN18,5,2483
761,QN18,6,2670
762,QN19,1,928
763,QN19,2,1358
764,QN19,3,1416
765,QN19,4,1503
766,QN19,5,1809
767,QN19,6,1982
768,QN20,1,2940
769,QN20,2,3494
770,QN20,3,3749
771,QN20,4,3967
772,QN20,5,5221
773,QN20,6,5827
774,QN21,1,1182
775,QN21,2,1720
776,QN21,3,1867
777,QN21,4,1917
778,QN21,5,2256
779,QN21,6,2372
780,QN22,1,2267
781,QN22,2,2902
782,QN22,3,3371
783,QN22,4,4116
784,QN22,5,5657
785,QN22,6,6048
786,QN23,1,405
787,QN23,2,482
788,QN23,3,527
789,QN23,4,649
790,QN23,5,736
791,QN23,6,799
792,QN25,1,931
793,QN25,2,1255
794,QN25,3,1375
795,QN25,4,1523
796,QN25,5,1860
797,QN25,6,2098
798,QN26,1,461
799,QN26,2,567
800,QN26,3,647
801,QN26,4,911
802,QN26,5,1166
803,QN26,6,1242
804,QN27,1,995
805,QN27,2,1461
806,QN27,3,1828
807,QN27,4,2043
808,QN27,5,2868
809,QN27,6,2942
810,QN28,1,4006
811,QN28,2,5188
812,QN28,3,5701
813,QN28,4,5909
814,QN28,5,7710
815,QN28,6,8235
816,QN29,1,2447
817,QN29,2,3423
818,QN29,3,3573
819,QN29,4,3520
820,QN29,5,4657
821,QN29,6,5051
822,QN30,1,1513
823,QN30,2,2064
824,QN30,3,2233
825,QN30,4,2383
826,QN30,5,2895
827,QN30,6,3113
828,QN31,1,6989
829,QN31,2,8178
830,QN31,3,8806
831,QN31,4,8951
832,QN31,5,10384
833,QN31,6,11522
834,QN33,1,208
835,QN33,2,306
836,QN33,3,420
837,QN33,4,311
838,QN33,5,448
839,QN33,6,516
840,QN34,1,507
841,QN34,2,673
842,QN34,3,905
843,QN34,4,904
844,QN34,5,1167
845,QN34,6,1275
846,QN35,1,1205
847,QN35,2,1762
848,QN35,3,2057
849,QN35,4,2014
850,QN35,5,2524
851,QN35,6,2339
852,QN37,1,1067
853,QN37,2,1757
854,QN37,3,2000
855,QN37,4,1869
856,QN37,5,2268
857,QN37,6,2053
858,QN38,1,1338
859,QN38,2,2382
860,QN38,3,2764
861,QN38,4,2543
862,QN38,5,2664
863,QN38,6,1976
864,QN41,1,360
865,QN41,2,537
866,QN41,3,665
867,QN41,4,639
868,QN41,5,873
869,QN41,6,916
870,QN42,1,388
871,QN42,2,524
872,QN42,3,711
873,QN42,4,566
874,QN42,5,743
875,QN42,6,783
876,QN43,1,293
877,QN43,2,374
878,QN43,3,449
879,QN43,4,489
880,QN43,5,708
881,QN43,6,713
882,QN44,1,165
883,QN44,2,264
884,QN44,3,293
885,QN44,4,347
886,QN44,5,458
887,QN44,6,426
888,QN45,1,289
889,QN45,2,345
890,QN45,3,397
891,QN45,4,456
892,QN45,5,654
893,QN45,6,645
894,QN46,1,956
895,QN46,2,1162
896,QN46,3,1341
897,QN46,4,1439
898,QN46,5,2018
899,QN46,6,1964
900,QN47,1,388
901,QN47,2,435
902,QN47,3,504
903,QN47,4,503
904,QN47,5,714
905,QN47,6,685
906,QN48,1,317
907,QN48,2,420
908,QN48,3,525
909,QN48,4,497
910,QN48,5,634
911,QN48,6,647
912,QN49,1,596
913,QN49,2,714
914,QN49,3,825
915,QN49,4,871
916,QN49,5,1109
917,QN49,6,1084
918,QN50,1,967
919,QN50,2,1238
920,QN50,3,1371
921,QN50,4,1443
922,QN50,5,1837
923,QN50,6,1985
924,QN51,1,800
925,QN51,2,878
926,QN51,3,972
927,QN51,4,956
928,QN51,5,1290
929,QN51,6,1355
930,QN52,1,433
931,QN52,2,573
932,QN52,3,491
933,QN52,4,532
934,QN52,5,792
935,QN52,6,847
936,QN53,1,1051
937,QN53,2,1549
938,QN53,3,1781
939,QN53,4,1611
940,QN53,5,2009
941,QN53,6,2058
942,QN54,1,1058
943,QN54,2,1390
944,QN54,3,1832
945,QN54,4,1922
946,QN54,5,2429
947,QN54,6,2601
948,QN55,1,1031
949,QN55,2,1235
950,QN55,3,1810
951,QN55,4,1833
952,QN55,5,2494
953,QN55,6,2622
954,QN56,1,491
955,QN56,2,653
956,QN56,3,823
957,QN56,4,829
958,QN56,5,1172
959,QN56,6,1216
960,QN57,1,502
961,QN57,2,706
962,QN57,3,844
963,QN57,4,856
964,QN57,5,1055
965,QN57,6,1226
966,QN60,1,1270
967,QN60,2,1581
968,QN60,3,1926
969,QN60,4,1940
970,QN60,5,2381
971,QN60,6,2700
972,QN61,1,1609
973,QN61,2,1907
974,QN61,3,2471
975,QN61,4,2523
976,QN61,5,3410
977,QN61,6,3625
978,QN62,1,596
979,QN62,2,753
980,QN62,3,782
981,QN62,4,873
982,QN62,5,1189
983,QN62,6,1378
984,QN63,1,2328
985,QN63,2,3042
986,QN63,3,3295
987,QN63,4,3341
988,QN63,5,4183
989,QN63,6,4567
990,QN66,1,264
991,QN66,2,354
992,QN66,3,470
993,QN66,4,469
994,QN66,5,653
995,QN66,6,657
996,QN68,1,14111
997,QN68,2,15402
998,QN68,3,16498
999,QN68,4,16906
1000,QN68,5,21103
1001,QN68,6,22434
1002,QN70,1,11863
1003,QN70,2,14304
1004,QN70,3,13933
1005,QN70,4,14415
1006,QN70,5,18243
1007,QN70,6,18481
1008,QN71,1,3593
1009,QN71,2,4216
1010,QN71,3,4092
1011,QN71,4,4196
1012,QN71,5,5463
1013,QN71,6,5693
1014,QN72,1,6100
1015,QN72,2,7089
1016,QN72,3,7072
1017,QN72,4,7140
1018,QN72,5,9378
1019,QN72,6,9831
1020,QN76,1,565
1021,QN76,2,780
1022,QN76,3,1003
1023,QN76,4,1085
1024,QN76,5,1682
1025,QN76,6,1697
1026,QN98,1,68978
1027,QN98,2,72578
1028,QN98,3,95859
1029,QN98,4,89638
1030,QN98,5,112948
1031,QN98,6,115287
1032,SI01,1,4
1033,SI01,2,1
1034,SI01,3,8
1035,SI01,4,7
1036,SI01,5,8
1037,SI01,6,11
1038,SI07,1,74
1039,SI07,2,73
1040,SI07,3,85
1041,SI07,4,102
1042,SI07,5,143
1043,SI07,6,157
1044,SI08,1,65
1045,SI08,2,86
1046,SI08,3,68
1047,SI08,4,78
1048,SI08,5,101
1049,SI08,6,113
1050,SI11,1,3
1051,SI11,2,3
1052,SI11,3,9
1053,SI11,4,8
1054,SI11,5,6
1055,SI11,6,8
1056,SI12,1,62
1057,SI12,2,82
1058,SI12,3,57
1059,SI12,4,67
1060,SI12,5,93
1061,SI12,6,89
1062,SI14,1,96
1063,SI14,2,84
1064,SI14,3,95
1065,SI14,4,112
1066,SI14,5,130
1067,SI14,6,145
1068,SI22,1,47
1069,SI22,2,51
1070,SI22,3,64
1071,SI22,4,56
1072,SI22,5,111
1073,SI22,6,106
1074,SI24,1,159
1075,SI24,2,205
1076,SI24,3,244
1077,SI24,4,305
1078,SI24,5,392
1079,SI24,6,384
1080,SI25,1,26
1081,SI25,2,21
1082,SI25,3,23
1083,SI25,4,19
1084,SI25,5,36
1085,SI25,6,45
1086,SI28,1,19
1087,SI28,2,25
1088,SI28,3,22
1089,SI28,4,24
1090,SI28,5,41
1091,SI28,6,58
1092,SI32,1,2
1093,SI32,2,1
1094,SI32,3,5
1095,SI32,4,2
1096,SI32,5,9
1097,SI32,6,5
1098,SI35,1,55
1099,SI35,2,37
1100,SI35,3,48
1101,SI35,4,45
1102,SI35,5,87
1103,SI35,6,142
1104,SI36,1,86
1105,SI36,2,97
1106,SI36,3,106
1107,SI36,4,106
1108,SI36,5,140
1109,SI36,6,157
1110,SI37,1,74
1111,SI37,2,77
1112,SI37,3,82
1113,SI37,4,93
1114,SI37,5,131
1115,SI37,6,157
1116,SI45,1,23
1117,SI45,2,31
1118,SI45,3,29
1119,SI45,4,25
1120,SI45,5,50
1121,SI45,6,61
1122,SI48,1,3
1123,SI48,3,2
1124,SI48,4,5
1125,SI48,5,6
1126,SI48,6,10
1127,SI54,1,22
1128,SI54,2,28
1129,SI54,3,26
1130,SI54,4,14
1131,SI54,5,29
1132,SI54,6,26
1133,SI99,1,3
1134,SI99,3,2
1135,SI99,4,2
1136,SI99,5,2
